loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies
3600,36 months,13.99,123.03,C,C4,leadman,10+ years,MORTGAGE,55000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,5.91,Aug-2003,7,0,2765,29.7,13,w,Individual,1,0
24700,36 months,11.99,820.28,C,C1,Engineer,10+ years,MORTGAGE,65000,Not Verified,Dec-2015,Fully Paid,small_business,Business,16.06,Dec-1999,22,0,21470,19.2,38,w,Individual,4,0
20000,60 months,10.78,432.66,B,B4,truck driver,10+ years,MORTGAGE,63000,Not Verified,Dec-2015,Fully Paid,home_improvement,,10.78,Aug-2000,6,0,7869,56.2,18,w,Joint App,5,0
35000,60 months,14.85,829.9,C,C5,Information Systems Officer,10+ years,MORTGAGE,110000,Source Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,17.06,Sep-2008,13,0,7802,11.6,17,w,Individual,1,0
10400,60 months,22.45,289.91,F,F1,Contract Specialist,3 years,MORTGAGE,104433,Source Verified,Dec-2015,Fully Paid,major_purchase,Major purchase,25.37,Jun-1998,12,0,21929,64.5,35,w,Individual,6,0
11950,36 months,13.44,405.18,C,C3,Veterinary Tecnician,4 years,RENT,34000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,10.2,Oct-1987,5,0,8822,68.4,6,w,Individual,0,0
20000,36 months,9.17,637.58,B,B2,Vice President of Recruiting Operations,10+ years,MORTGAGE,180000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,14.67,Jun-1990,12,0,87329,84.5,27,f,Individual,4,0
20000,36 months,8.49,631.26,B,B1,road driver,10+ years,MORTGAGE,85000,Not Verified,Dec-2015,Fully Paid,major_purchase,Major purchase,17.61,Feb-1999,8,0,826,5.7,15,w,Individual,3,0
10000,36 months,6.49,306.45,A,A2,SERVICE MANAGER,6 years,RENT,85000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,13.07,Apr-2002,14,1,10464,34.5,23,w,Individual,1,1
8000,36 months,11.48,263.74,B,B5,Vendor liaison,10+ years,MORTGAGE,42000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,34.8,Nov-1994,8,0,7034,39.1,18,w,Individual,1,0
22400,60 months,12.88,508.3,C,C2,Executive Director,6 years,MORTGAGE,95000,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,22.98,Apr-1995,16,0,13028,32.7,35,w,Individual,5,0
16000,60 months,12.88,363.07,C,C2,Senior Structural Designer,1 year,MORTGAGE,70000,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,26.4,Feb-1988,13,0,28705,56.3,29,w,Individual,2,0
1400,36 months,12.88,47.1,C,C2,Logistics Manager,3 years,MORTGAGE,64000,Not Verified,Dec-2015,Fully Paid,other,,34.95,Jun-1996,17,0,37828,67.2,24,w,Individual,4,0
18000,60 months,19.48,471.7,E,E2,Software Manager,7 years,RENT,150000,Not Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,9.39,Jun-2005,18,1,14052,40.7,27,w,Individual,2,1
